127.0.0.1 - - [05/Dec/2019:15:29:00 -0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:29:01 -0600] "GET /StatsApp/ HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:29:45 -0600] "POST /StatsApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:29:45 -0600] "GET /StatsApp/userPage HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:23 -0600] "POST /StatsApp/addToFavorites HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:23 -0600] "GET /StatsApp/userPage HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:30 -0600] "GET /StatsApp/tableView HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:36 -0600] "POST /StatsApp/addToTable HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:36 -0600] "GET /StatsApp/tableView HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:42 -0600] "POST /StatsApp/addToTable HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:30:42 -0600] "GET /StatsApp/tableView HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:31:11 -0600] "POST /StatsApp/addToTable HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:31:11 -0600] "GET /StatsApp/tableView HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [05/Dec/2019:15:31:30 -0600] "GET /StatsApp/tableView HTTP/1.1" 200 3129
